Main Rank,Characters,Kills,Total Damage,Headshots,Wins,Total Games Played,DMG per Kill,DMG per Game,Win rate,Win Percentage,Accuracy
1,Pathfinder,1880,580883,2419,101,1500,308.9803191,387.2553333,0.067333333,0.336666667,1.612666667
2,Octane,586,167188,742,45,443,285.3037543,377.3995485,0.101580135,0.15,1.674943567
3,Crypto,321,127607,392,22,311,397.529595,410.3118971,0.07073955,0.073333333,1.260450161
