Main Rank,Characters,Kills,Total Damage,Headshots,Wins,Total Games Played,DMG per Kill,DMG per Game,Win rate,Win Percentage,Accuracy
1,Octane,1316,505373,2217,85,1111,384.0220365,454.8811881,0.076507651,0.33203125,1.99549955
2,Horizon,1025,407679,1902,59,896,397.7356098,454.9988839,0.065848214,0.23046875,2.122767857
3,Revenant,225,88862,337,16,194,394.9422222,458.0515464,0.082474227,0.0625,1.737113402
