Main Rank,Characters,Kills,Total Damage,Headshots,Wins,Total Games Played,DMG per Kill,DMG per Game,Win rate,Win Percentage,Accuracy
1,Pathfinder,2730,910784,4582,128,1961,333.6205128,464.4487506,0.06527282,0.306954436,2.336562978
2,BloodHound,1603,562319,2565,80,1304,350.7916407,431.226227,0.061349693,0.191846523,1.96702454
3,Lifeline,1225,383457,1600,68,894,313.0261224,428.9228188,0.07606264,0.163069544,1.789709172
