Main Rank,Characters,Kills,Total Damage,Headshots,Wins,Total Games Played,DMG per Kill,DMG per Game,Win rate,Win Percentage,Accuracy
1,Lifeline,1133,367142,1697,67,1666,324.0441306,220.3733493,0.040216086,0.5,1.018607443
2,Bangalore,781,305400,1328,51,1773,391.0371319,172.250423,0.028764805,0.380597015,0.749012972
3,Pathfinder,259,84392,397,8,455,325.8378378,185.4769231,0.017582418,0.059701493,0.872527473
